,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
952,Francimar Barroso,,175,3,3,0,0.58,12,7,62,28,0.45,0,46,82,0,0,0,37,185.42,Orthodox,190.5,205,0,0
953,Vicente Luque,,-120,4,1,0,0.28,7,2,44,24,0.54,0,44,64,0,3,0,25,180.34,Orthodox,190.5,170,2,2
954,Teemu Packalen,,155,1,1,0,0.0,0,0,1,1,1.0,0,1,1,0,0,0,29,185.42,Orthodox,182.88,155,0,1
955,Lucie Pudilova,,325,0,0,0,0.0,2,0,204,99,0.48,0,163,277,0,0,0,22,172.72,Orthodox,170.18,125,0,0
956,Gian Villante,12.0,135,5,4,0,0.0,1,0,151,55,0.36,0,55,151,0,0,0,31,190.5,Orthodox,193.04,205,4,0
957,Beneil Dariush,9.0,140,8,2,0,0.0,2,0,121,51,0.42,0,51,121,0,0,0,27,177.8,Southpaw,182.88,155,1,3
958,Ray Borg,8.0,-130,4,2,0,0.0,6,0,88,36,0.4,0,53,105,0,1,1,23,162.56,Orthodox,160.02,135,0,2
959,Tim Means,,-210,8,5,0,0.0,1,0,12,9,0.75,0,34,41,0,1,0,33,187.96,Orthodox,190.5,170,4,1
960,Kevin Lee,,-170,7,2,0,0.12,8,1,43,15,0.34,0,23,52,1,3,0,24,175.26,Orthodox,195.58,170,1,2
961,Davi Ramos,,170,0,0,0,0.0,1,0,122,35,0.28,0,35,122,0,0,0,30,167.64,Orthodox,177.8,155,0,0
962,Joe Soto,,200,2,3,0,1.0,1,1,113,54,0.47,0,98,176,2,6,0,29,167.64,Orthodox,165.1,135,0,2
963,Joshua Burkman,,250,6,10,0,0.0,1,0,1,1,1.0,0,1,1,0,0,0,36,177.8,Orthodox,182.88,170,1,1
964,Jeremy Kennedy,,-125,1,0,0,0.88,9,8,74,46,0.62,0,105,143,0,1,0,24,180.34,Orthodox,180.34,145,0,0
965,Paulo Costa,,-340,0,0,0,0.0,0,0,32,22,0.68,1,23,33,0,0,0,25,185.42,Orthodox,182.88,185,0,0
966,Travis Browne,9.0,-115,9,6,0,0.0,1,0,47,21,0.44,0,23,49,0,0,0,34,198.12,Orthodox,200.66,255,7,1
967,Hector Lombard,,-130,3,5,0,0.22,9,2,103,37,0.35,0,43,109,0,0,0,39,175.26,Southpaw,180.34,185,2,0
968,Gavin Tucker,,-160,0,0,0,1.0,1,1,163,55,0.33,0,60,168,0,0,0,30,167.64,Southpaw,167.64,145,0,0
969,Cezar Ferreira,,-115,7,3,0,0.5,6,3,38,11,0.28,0,11,38,2,2,0,32,185.42,Southpaw,198.12,185,0,2
970,Gina Mazany,,550,0,0,0,0.0,0,0,2,0,0.0,0,0,2,0,0,0,28,167.64,Southpaw,172.72,135,0,0
971,Santiago Ponzinibbio,,-325,5,2,0,0.0,0,0,171,53,0.3,1,65,183,0,2,0,30,182.88,Orthodox,185.42,170,3,0
972,Randa Markos,,200,2,3,0,0.0,0,0,110,48,0.43,0,62,126,0,0,1,31,162.56,Orthodox,160.02,115,0,0
973,Reginaldo Vieira,,235,1,1,0,0.15,13,2,190,64,0.33,0,73,199,0,0,0,34,170.18,Orthodox,165.1,135,0,0
974,Thiago Santos,,-165,5,4,0,0.5,2,1,71,27,0.38,1,32,76,0,0,0,33,187.96,Orthodox,193.04,205,4,0
