,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
589,Myles Jury,12.0,100,8,2,0,0.0,0,0,12,3,0.25,0,3,12,0,0,0,29,177.8,Orthodox,185.42,145,3,1
590,Cat Zingano,6.0,-110,2,3,0,0.6,10,6,57,33,0.57,0,94,123,0,2,0,36,167.64,Southpaw,172.72,145,2,0
591,Eddie Wineland,15.0,155,5,6,0,0.0,0,0,183,48,0.26,0,48,183,0,0,0,34,170.18,Orthodox,175.26,135,4,0
592,Darren Elkins,10.0,180,14,4,0,0.16,6,1,172,82,0.47,0,93,184,0,0,0,34,177.8,Orthodox,180.34,145,3,1
593,Justin Scoggins,,-105,4,4,0,0.0,1,0,87,32,0.36,0,32,87,0,0,0,26,170.18,Southpaw,167.64,125,1,0
594,Kurt Holobaugh,,-165,0,1,0,0.33,3,1,226,102,0.45,0,130,256,0,0,0,31,180.34,Orthodox,177.8,155,0,0
595,Liz Carmouche,7.0,-115,3,4,0,0.75,4,3,78,53,0.67,0,109,135,0,5,0,34,167.64,Orthodox,167.64,125,1,0
596,Mark De La Rosa,,115,0,1,0,0.66,3,2,44,25,0.56,0,26,45,1,1,0,23,167.64,Orthodox,165.1,135,0,0
597,Jessica Aguilar,,150,0,2,0,0.0,6,0,199,128,0.64,0,138,209,0,0,0,36,160.02,Orthodox,160.02,115,0,0
598,Donald Cerrone,11.0,215,20,7,0,0.11,9,1,131,60,0.45,0,64,136,0,1,0,35,185.42,Orthodox,185.42,155,9,5
599,Ovince Saint Preux,7.0,125,10,6,0,0.0,1,0,12,7,0.58,0,13,18,1,0,0,35,190.5,Southpaw,203.2,205,5,3
600,Jessica-Rose Clark,9.0,-165,2,0,0,0.0,0,0,139,51,0.36,0,51,139,0,0,0,30,165.1,Orthodox,162.56,125,0,0
601,Teruto Ishihara,,450,3,4,0,0.0,2,0,30,11,0.36,0,11,30,0,0,0,26,170.18,Southpaw,175.26,135,2,0
602,Felipe Arantes,,-105,5,6,0,0.0,2,0,31,8,0.25,0,9,32,0,0,0,30,172.72,Orthodox,185.42,135,1,2
603,Rolando Dy,,145,1,2,0,0.0,0,0,152,57,0.37,0,58,153,0,0,0,27,172.72,Orthodox,175.26,145,0,0
604,Shinsho Anzai,,450,2,1,0,0.0,1,0,5,1,0.2,0,6,13,0,0,0,32,170.18,Orthodox,177.8,170,0,0
605,Matt Schnell,,165,1,2,0,0.0,1,0,183,71,0.38,0,79,192,0,0,0,28,172.72,Orthodox,177.8,135,0,0
606,Ji Yeon Kim,,-170,1,1,0,0.0,0,0,241,73,0.3,0,93,261,0,0,0,28,170.18,Orthodox,182.88,125,0,0
607,Stephen Thompson,1.0,-150,9,3,0,0.0,1,0,126,30,0.23,0,31,127,0,0,0,35,182.88,Orthodox,190.5,170,5,0
608,Neil Magny,9.0,-750,13,5,0,0.0,2,0,29,18,0.62,1,40,53,0,1,0,30,190.5,Orthodox,203.2,170,4,1
609,Arnold Allen,,-245,3,0,0,0.0,0,0,90,29,0.32,0,38,101,1,0,0,24,172.72,Southpaw,177.8,145,0,1
610,Jason Knight,,-170,4,3,0,0.0,1,0,88,29,0.32,2,64,124,1,0,1,25,177.8,Orthodox,180.34,145,1,1
611,Claudio Silva,,325,2,0,0,0.33,3,1,39,18,0.46,0,25,51,1,4,0,35,180.34,Southpaw,180.34,170,0,0
612,Eric Spicely,,-160,2,2,0,0.0,4,0,75,15,0.2,0,19,79,0,0,0,31,185.42,Orthodox,185.42,185,0,2
613,Daniel Kelly,,315,6,3,0,0.0,0,0,28,6,0.21,0,6,28,0,0,0,40,182.88,Southpaw,177.8,185,1,1
614,Lina Lansberg,14.0,140,1,2,0,1.0,1,1,75,40,0.53,0,81,125,0,0,0,36,170.18,Orthodox,165.1,135,0,0
615,Gillian Robertson,,135,1,0,0,0.5,4,2,50,17,0.34,0,26,60,1,6,0,23,165.1,Orthodox,160.02,125,0,1
616,Elias Theodorou,15.0,-390,6,2,0,0.0,0,0,138,77,0.55,0,140,203,0,0,0,29,185.42,Orthodox,190.5,185,2,0
617,Demian Maia,5.0,415,19,8,0,0.0,15,0,87,27,0.31,0,33,94,0,0,0,40,185.42,Southpaw,182.88,170,1,9
618,Alexa Grasso,9.0,425,2,1,0,0.0,0,0,8,6,0.75,0,21,23,0,0,0,24,165.1,Orthodox,167.64,115,0,0
619,Jared Cannonier,,180,3,3,0,0.0,0,0,21,6,0.28,0,10,26,0,0,0,34,180.34,Switch,195.58,185,2,0
620,Diego Rivas,,-175,2,1,0,0.4,5,2,46,22,0.47,0,26,50,1,0,0,26,172.72,Orthodox,175.26,145,1,0
621,Veronica Macedo,,280,0,1,0,1.0,1,1,73,24,0.32,0,42,100,1,0,0,22,162.56,Southpaw,162.56,125,0,0
622,Vicente Luque,,-235,5,2,0,0.0,0,0,35,14,0.4,1,14,35,0,0,0,26,180.34,Orthodox,190.5,170,2,3
623,Zak Cummings,,-190,6,2,0,0.0,0,0,92,28,0.3,0,62,128,0,0,0,33,182.88,Southpaw,190.5,185,1,3
624,Brandon Moreno,7.0,-110,3,1,0,0.28,7,2,133,45,0.33,0,50,140,0,0,0,24,170.18,Orthodox,177.8,125,0,2
625,Poliana Botelho,,-174,1,0,0,0.0,0,0,13,9,0.69,1,9,13,0,0,0,29,172.72,Orthodox,170.18,115,0,0
626,Gabriel Benitez,,-155,4,2,0,1.0,1,1,19,9,0.47,1,9,19,0,0,0,29,172.72,Southpaw,180.34,145,0,2
627,Enrique Barzola,,-235,4,1,0,0.66,15,10,94,51,0.54,0,89,149,1,5,0,29,170.18,Switch,177.8,145,0,0
628,Henry Briones,,280,1,3,0,0.0,0,0,104,44,0.42,0,58,123,1,0,0,37,172.72,Orthodox,175.26,135,0,1
629,Claudio Puelles,,265,0,1,0,0.28,7,2,49,16,0.32,0,16,49,1,0,0,22,180.34,Southpaw,182.88,155,0,0
630,Amanda Nunes,0.0,-700,8,1,0,0.75,4,3,254,124,0.48,0,152,288,0,2,0,29,172.72,Orthodox,175.26,145,4,2
631,Jacare Souza,,-115,8,2,0,0.11,9,1,115,64,0.55,0,78,129,1,3,1,38,185.42,Orthodox,182.88,185,3,4
632,Mackenzie Dern,,-260,1,0,0,0.0,0,0,32,15,0.46,1,16,33,1,3,0,25,162.56,Orthodox,160.02,115,0,0
633,John Lineker,6.0,-265,11,3,0,0.0,0,0,233,102,0.43,2,113,244,1,0,0,27,160.02,Orthodox,170.18,135,5,1
634,Vitor Belfort,9.0,165,15,10,0,0.0,0,0,12,2,0.16,0,2,12,0,0,0,41,182.88,Southpaw,187.96,185,11,2
635,Cezar Ferreira,,-150,8,4,0,0.66,3,2,6,5,0.83,0,14,16,1,3,0,33,185.42,Southpaw,198.12,185,0,2
636,Aleksei Oleinik,10.0,135,4,2,0,0.0,3,0,17,10,0.58,0,10,17,1,0,0,40,187.96,Orthodox,203.2,240,1,3
637,Davi Ramos,,-185,1,1,0,1.0,1,1,12,6,0.5,0,13,21,1,2,0,31,167.64,Orthodox,177.8,155,0,1
638,Elizeu Zaleski dos Santos,,100,4,1,0,0.0,1,0,58,15,0.25,1,18,63,0,0,0,31,180.34,Orthodox,185.42,170,1,0
639,Warlley Alves,,-280,5,2,0,0.0,1,0,50,29,0.58,0,54,78,0,0,0,27,180.34,Orthodox,182.88,170,0,3
640,Thales Leites,,110,12,7,0,0.33,9,3,17,11,0.64,0,20,27,3,4,0,36,185.42,Orthodox,198.12,185,2,5
641,Alberto Mina,,150,3,0,0,0.2,5,1,82,12,0.14,0,16,87,0,0,0,36,182.88,Orthodox,195.58,170,2,0
642,Markus Perez,,-300,0,1,0,1.0,1,1,4,4,1.0,0,13,16,2,4,0,29,185.42,Orthodox,185.42,185,0,0
643,Edson Barboza,4.0,145,13,5,0,0.0,1,0,106,51,0.48,0,64,119,0,0,0,32,180.34,Orthodox,190.5,155,6,0
644,Frankie Edgar,3.0,-275,16,7,0,0.0,8,0,136,58,0.42,0,60,139,0,0,0,36,167.64,Orthodox,172.72,145,4,2
645,Justin Willis,,-290,2,0,0,0.5,2,1,109,76,0.69,1,118,153,0,1,0,30,185.42,Southpaw,198.12,264,1,0
646,David Branch,8.0,140,3,3,0,0.0,1,0,15,5,0.33,1,5,15,0,1,0,36,185.42,Orthodox,198.12,185,0,0
647,Aljamain Sterling,8.0,-115,6,3,0,0.33,9,3,152,89,0.58,0,117,181,0,2,1,28,170.18,Orthodox,180.34,135,1,2
648,Jim Miller,,250,17,11,0,0.5,2,1,20,10,0.5,0,13,23,0,0,0,34,172.72,Southpaw,180.34,155,3,6
649,Ryan LaFlare,,-150,6,2,0,0.16,6,1,48,24,0.5,0,47,71,0,1,1,34,185.42,Southpaw,187.96,170,0,0
650,Merab Dvalishvili,,-110,0,1,0,0.27,22,6,210,61,0.29,1,82,233,0,0,0,27,167.64,Orthodox,172.72,135,0,0
651,Siyar Bahadurzada,,150,3,2,0,1.0,1,1,64,33,0.51,1,61,94,0,0,0,34,180.34,Orthodox,185.42,170,2,1
652,Corey Anderson,10.0,-165,6,4,0,0.92,13,12,119,64,0.53,0,99,162,0,6,0,28,190.5,Orthodox,200.66,205,2,0
653,Anthony Rocco Martin,,-200,4,4,0,0.0,0,0,133,56,0.42,0,65,142,2,1,1,28,182.88,Orthodox,185.42,170,0,2
654,Dustin Poirier,5.0,-125,14,5,0,0.0,5,0,351,174,0.49,0,179,357,0,0,0,29,175.26,Southpaw,182.88,155,6,3
655,Carlos Condit,12.0,155,7,7,0,1.0,1,1,18,12,0.66,0,42,49,1,2,1,33,187.96,Orthodox,190.5,170,4,0
656,Israel Adesanya,,-245,1,0,0,0.0,1,0,123,57,0.46,0,67,134,0,0,0,28,193.04,Switch,203.2,185,1,0
657,Michelle Waterson,7.0,145,2,2,0,0.75,4,3,84,61,0.72,0,77,103,0,0,0,32,160.02,Orthodox,157.48,115,0,2
658,Tim Boetsch,,220,12,10,0,0.0,0,0,18,7,0.38,0,13,24,0,0,0,37,182.88,Orthodox,187.96,185,7,0
659,Muslim Salikhov,,-210,0,1,0,0.0,2,0,48,25,0.52,1,26,49,0,0,0,33,180.34,Orthodox,177.8,170,0,0
660,Wilson Reis,6.0,-120,6,4,0,0.5,16,8,61,12,0.19,0,61,127,0,8,0,33,162.56,Southpaw,165.1,125,0,2
661,Krzysztof Jotko,13.0,-130,6,3,0,0.0,3,0,74,24,0.32,0,40,90,0,0,0,28,185.42,Southpaw,195.58,185,1,0
662,Gilbert Burns,,-640,5,2,0,1.0,2,2,65,31,0.47,1,39,74,0,2,0,31,177.8,Orthodox,180.34,155,1,3
663,Shana Dobson,,140,1,0,0,0.25,4,1,206,68,0.33,0,74,213,0,0,0,29,167.64,Orthodox,175.26,125,1,0
664,Dhiego Lima,,105,1,4,0,0.0,0,0,24,11,0.45,0,17,31,0,0,0,29,187.96,Orthodox,187.96,170,0,0
665,Arjan Bhullar,,-325,1,0,0,0.66,3,2,18,9,0.5,0,42,60,0,1,0,31,185.42,Orthodox,190.5,245,0,0
666,Matthew Lopez,,-110,2,2,0,0.42,7,3,36,22,0.61,0,32,47,2,2,0,31,170.18,Southpaw,175.26,135,1,0
667,Luke Sanders,,-430,1,2,0,0.0,0,0,140,59,0.42,1,62,143,0,0,0,32,167.64,Southpaw,170.18,135,0,1
668,Fabricio Werdum,3.0,-210,11,4,0,0.33,9,3,88,48,0.54,0,83,130,0,3,2,40,193.04,Orthodox,195.58,231,4,3
669,Jimi Manuwa,4.0,-150,6,3,0,0.0,2,0,110,37,0.33,0,37,110,0,0,0,38,185.42,Orthodox,200.66,205,3,0
670,Tom Duquesnoy,,-430,1,1,0,0.0,3,0,153,67,0.43,0,70,156,0,0,0,24,170.18,Orthodox,172.72,135,1,0
671,Leon Edwards,15.0,-190,6,2,0,0.5,2,1,86,42,0.48,1,71,117,0,4,1,26,182.88,Southpaw,187.96,170,1,1
672,John Phillips,,-115,0,0,0,0.0,0,0,1,0,0.0,0,1,2,0,0,0,32,180.34,Southpaw,190.5,185,0,0
673,Danny Roberts,,-130,3,2,0,0.0,0,0,10,4,0.4,1,4,10,0,0,0,30,185.42,Southpaw,187.96,170,1,1
674,Danny Henry,,240,1,0,0,0.0,0,0,5,2,0.4,1,2,5,1,0,0,29,182.88,Orthodox,185.42,145,0,0
675,Paul Craig,,550,1,2,0,0.28,7,2,50,18,0.36,0,34,70,1,1,0,30,190.5,Orthodox,193.04,205,0,1
676,Stevie Ray,,-210,5,2,0,0.75,4,3,62,24,0.38,0,37,78,1,1,0,27,177.8,Southpaw,177.8,155,2,0
677,Mark Godbeer,,220,2,1,0,0.0,1,0,37,24,0.64,0,73,91,0,1,1,34,193.04,Orthodox,195.58,240,0,0
678,Josh Emmett,4.0,110,4,1,0,0.0,0,0,40,18,0.45,1,21,43,0,0,0,32,167.64,Orthodox,177.8,145,1,0
679,Jessica Andrade,2.0,-250,8,4,0,0.83,12,10,178,92,0.51,0,151,237,0,8,1,26,154.94,Orthodox,157.48,115,1,2
680,Ovince Saint Preux,5.0,-165,10,5,0,0.0,0,0,24,7,0.29,0,7,24,0,0,0,34,190.5,Southpaw,203.2,205,5,3
681,Mike Perry,,-300,4,2,0,0.25,4,1,110,45,0.4,0,45,110,0,1,0,26,177.8,Orthodox,180.34,170,4,0
682,Renan Barao,,-165,9,4,0,0.0,2,0,228,116,0.5,0,134,247,0,0,0,31,167.64,Orthodox,177.8,135,2,3
683,Sara McMann,7.0,-190,5,4,0,0.4,5,2,49,9,0.18,0,76,120,0,1,0,37,167.64,Orthodox,167.64,135,1,2
684,Maryna Moroz,14.0,130,3,1,0,0.0,2,0,321,84,0.26,0,100,339,0,0,0,26,170.18,Orthodox,170.18,125,0,1
685,Ben Saunders,,210,8,5,0,0.0,0,0,79,33,0.41,0,34,80,0,0,0,34,187.96,Orthodox,195.58,170,2,3
686,Sam Alvey,,180,8,5,0,1.0,1,1,19,10,0.52,2,14,23,0,1,0,31,187.96,Southpaw,190.5,205,4,1
687,Rani Yahya,,-220,9,4,0,0.66,3,2,20,17,0.85,0,105,149,2,5,1,33,167.64,Orthodox,170.18,135,0,4
688,Eric Shelton,,-140,1,2,0,0.0,2,0,109,41,0.37,0,72,140,0,0,0,27,167.64,Orthodox,172.72,125,0,0
689,Albert Morales,,155,1,4,0,1.0,1,1,54,19,0.35,0,30,66,0,1,1,26,175.26,Orthodox,182.88,135,0,0
690,Donald Cerrone,11.0,100,19,7,0,0.0,1,0,57,28,0.49,3,28,57,0,0,0,34,185.42,Orthodox,185.42,155,8,5
691,Derrick Lewis,7.0,-110,9,3,0,0.5,2,1,45,30,0.66,2,32,47,0,2,0,33,190.5,Orthodox,200.66,260,8,0
692,James Vick,12.0,-210,8,1,0,0.5,2,1,158,68,0.43,1,72,162,0,0,0,30,190.5,Orthodox,193.04,155,2,3
693,Thiago Alves,,-150,14,8,0,1.0,1,1,106,33,0.31,0,37,110,0,1,0,34,175.26,Orthodox,177.8,170,7,1
694,Steven Peterson,,130,0,0,0,0.1,10,1,286,73,0.25,0,82,296,0,1,0,27,177.8,Orthodox,177.8,145,0,0
695,Sage Northcutt,,-375,4,2,0,0.11,9,1,138,63,0.45,0,125,204,0,1,0,21,182.88,Orthodox,180.34,170,1,1
696,Jared Gordon,,-175,2,0,0,0.0,1,0,17,8,0.47,0,8,17,0,0,0,29,175.26,Orthodox,172.72,155,1,0
697,Geoff Neal,,-210,0,0,0,0.0,0,0,31,14,0.45,0,15,32,1,0,0,27,180.34,Southpaw,190.5,170,0,0
698,Sarah Moras,13.0,130,2,1,0,0.4,5,2,121,43,0.35,0,80,165,2,1,0,29,170.18,Orthodox,170.18,135,0,1
699,Joshua Burkman,,300,6,12,0,0.0,0,0,13,4,0.3,0,4,13,0,0,0,37,177.8,Orthodox,182.88,170,1,1
700,Oskar Piechota,,-340,1,0,0,0.0,0,0,22,17,0.77,1,17,22,0,0,0,28,182.88,Southpaw,193.04,185,0,0
701,Yoel Romero,1.0,160,8,1,0,0.0,0,0,92,45,0.48,1,52,99,0,0,0,40,182.88,Southpaw,185.42,185,6,0
702,Mark Hunt,5.0,165,8,7,0,0.0,0,0,32,14,0.43,1,35,53,0,0,0,43,177.8,Orthodox,182.88,265,7,0
703,Tai Tuivasa,,-275,1,0,0,0.0,0,0,51,38,0.74,0,39,52,0,0,0,24,187.96,Southpaw,190.5,264,1,0
704,Tyson Pedro,13.0,-300,2,1,0,0.0,1,0,23,12,0.52,0,17,28,1,0,0,26,190.5,Orthodox,200.66,205,1,1
705,Damien Brown,,115,2,3,0,0.0,0,0,123,46,0.37,0,46,123,0,0,0,33,177.8,Orthodox,172.72,155,1,0
706,Rob Wilkinson,,305,0,1,0,0.2,15,3,46,22,0.47,0,33,59,0,1,0,25,190.5,Orthodox,203.2,185,0,0
707,Alexander Volkanovski,,-200,3,0,0,0.66,3,2,120,73,0.6,0,105,158,0,4,0,29,167.64,Orthodox,180.34,145,1,0
708,Jussier Formiga,4.0,-110,6,4,0,0.5,4,2,49,27,0.55,1,50,72,1,4,0,32,165.1,Orthodox,170.18,125,0,2
709,Ross Pearson,,-160,11,12,0,0.0,0,0,176,58,0.32,0,59,177,0,0,0,33,172.72,Orthodox,175.26,155,4,0
710,Teruto Ishihara,,135,3,3,0,0.25,4,1,109,33,0.3,1,35,111,0,0,0,26,170.18,Southpaw,175.26,135,2,0
711,Luke Jumeau,,140,1,1,0,1.0,1,1,130,63,0.48,0,64,131,0,0,0,29,180.34,Orthodox,182.88,170,0,0
712,Jacare Souza,,120,7,2,0,0.0,1,0,21,9,0.42,1,9,21,0,0,0,38,185.42,Orthodox,182.88,185,2,4
713,Dennis Bermudez,12.0,-150,9,5,0,0.9,11,1,196,103,0.52,0,133,227,0,1,0,31,167.64,Orthodox,167.64,155,1,2
714,Jordan Rinaldi,,425,1,1,0,0.0,0,0,16,7,0.43,0,7,16,0,0,0,30,177.8,Orthodox,182.88,145,0,1
715,Drew Dober,,-140,4,5,0,0.0,6,0,322,145,0.45,0,161,338,0,0,0,29,172.72,Southpaw,177.8,155,2,1
716,Erik Koch,,155,4,4,0,1.0,1,1,146,56,0.38,0,60,150,0,2,1,29,177.8,Southpaw,180.34,155,2,1
717,Mirsad Bektic,15.0,-550,4,1,0,0.0,0,0,33,12,0.36,1,12,34,0,0,0,26,172.72,Orthodox,177.8,145,1,1
718,Katlyn Chookagian,,-190,2,1,0,0.0,1,0,252,68,0.26,0,71,257,1,0,0,29,175.26,Orthodox,172.72,125,0,0
719,Randa Markos,11.0,-155,3,4,0,0.28,7,2,65,46,0.7,0,114,149,0,6,1,32,162.56,Orthodox,160.02,115,0,0
720,Justine Kish,,-160,2,1,0,0.0,0,0,203,96,0.47,0,96,203,0,0,0,29,165.1,Orthodox,162.56,125,0,0
721,Vinc Pichel,,110,3,1,0,0.25,4,1,186,60,0.32,0,62,188,0,0,0,35,177.8,Orthodox,182.88,155,1,0
722,Niko Price,,-365,2,2,0,0.4,5,2,47,24,0.51,0,35,67,3,3,1,28,182.88,Orthodox,193.04,170,1,1
723,Austin Arnett,,170,0,0,0,1.0,1,1,90,32,0.35,0,35,95,0,1,0,26,182.88,Orthodox,182.88,145,0,0
724,Stipe Miocic,0.0,150,11,2,0,0.42,14,6,95,70,0.73,0,200,244,0,4,0,35,193.04,Orthodox,203.2,240,8,0
725,Daniel Cormier,0.0,-345,8,2,0,0.66,3,2,61,32,0.52,0,84,113,1,3,0,38,180.34,Orthodox,182.88,235,1,3
726,Calvin Kattar,,190,1,0,0,0.0,1,0,194,85,0.43,1,86,195,0,0,0,29,180.34,Orthodox,182.88,145,0,0
727,Gian Villante,15.0,-155,5,6,0,0.0,0,0,209,74,0.35,0,74,209,0,0,0,32,190.5,Orthodox,193.04,205,4,0
728,Thomas Almeida,10.0,-145,5,2,0,0.0,0,0,90,24,0.26,0,24,92,0,0,0,26,170.18,Southpaw,177.8,135,4,0
729,Kyle Bochniak,,120,1,2,0,0.2,15,3,132,33,0.25,0,35,134,0,0,0,30,170.18,Orthodox,177.8,145,0,0
730,Sabah Homasi,,168,0,2,0,0.5,2,1,25,8,0.32,0,9,26,0,0,0,29,182.88,Orthodox,182.88,170,0,0
731,Dustin Ortiz,10.0,-135,6,5,0,0.58,12,7,80,36,0.45,0,92,147,0,1,2,29,165.1,Orthodox,165.1,125,3,0
732,Dan Ige,,120,0,0,0,0.7,13,1,113,35,0.3,0,36,116,0,0,0,26,170.18,Orthodox,180.34,145,0,0
733,Matt Bessette,,245,0,0,0,0.0,0,0,146,43,0.29,0,55,158,0,0,0,33,177.8,Orthodox,177.8,145,0,0
734,Islam Makhachev,,-290,3,1,0,0.0,0,0,6,3,0.5,1,3,6,0,0,0,26,177.8,Orthodox,177.8,155,0,1
735,Jeremy Stephens,9.0,145,13,13,0,0.0,0,0,133,49,0.36,1,49,133,0,0,0,31,172.72,Orthodox,180.34,145,5,0
736,Paige VanZant,,-120,4,2,0,0.0,2,0,118,54,0.45,0,96,162,0,0,1,23,162.56,Orthodox,165.1,115,2,1
737,Kamaru Usman,10.0,-750,6,0,0,0.42,19,8,66,50,0.75,0,112,132,0,7,0,30,182.88,Switch,193.04,170,1,1
738,Darren Elkins,10.0,175,13,4,0,0.25,4,1,64,18,0.28,0,54,108,1,2,0,33,177.8,Orthodox,180.34,145,3,0
739,James Krause,,-180,5,3,0,0.27,11,3,67,35,0.52,0,56,93,2,4,1,31,187.96,Orthodox,185.42,170,1,2
740,Talita Bernardo,,115,0,1,0,0.9,11,1,87,46,0.52,0,74,119,0,1,1,30,162.56,Orthodox,172.72,135,0,0
741,Kyung Ho Kang,,-290,2,2,0,0.5,2,1,11,3,0.27,0,28,36,1,1,0,30,175.26,Orthodox,185.42,135,0,1
742,Kalindra Faria,13.0,115,0,1,0,0.5,2,1,70,38,0.54,0,52,91,1,1,0,31,170.18,Switch,157.0,125,0,0
743,Danielle Taylor,,110,2,1,0,0.0,1,0,136,38,0.27,0,64,163,0,0,0,28,152.4,Orthodox,152.4,115,0,0
744,Mads Burnell,,165,0,1,0,0.42,7,3,34,20,0.58,0,110,169,1,11,1,23,172.72,Orthodox,175.26,145,0,0
745,Khabib Nurmagomedov,2.0,-410,8,0,0,0.3,13,4,177,89,0.5,0,154,246,0,4,0,29,177.8,Orthodox,177.8,155,2,2
746,Dan Hooker,,165,4,3,0,0.66,3,2,40,17,0.42,0,24,48,1,1,0,27,182.88,Switch,190.5,155,3,1
747,Cynthia Calvillo,6.0,-220,3,0,0,0.33,3,1,112,38,0.33,0,57,131,0,2,0,30,162.56,Orthodox,162.56,115,0,2
748,Carlos Condit,8.0,-130,7,6,0,0.0,0,0,112,37,0.33,0,64,140,0,0,0,33,187.96,Orthodox,190.5,170,4,0
749,Myles Jury,15.0,-175,7,2,0,0.66,3,2,83,41,0.49,0,56,100,0,2,1,29,177.8,Orthodox,185.42,145,3,1
750,Tim Elliott,,-190,3,6,0,1.0,1,1,24,12,0.5,0,54,75,2,6,2,31,170.18,Southpaw,167.64,135,0,0
751,Robbie Lawler,2.0,105,13,5,0,0.0,0,0,212,86,0.4,0,137,267,0,0,0,35,180.34,Southpaw,187.96,170,6,0
752,Ricardo Lamas,3.0,-290,9,3,0,0.0,0,0,37,17,0.45,0,17,37,0,0,0,35,172.72,Orthodox,180.34,145,3,3
753,Santiago Ponzinibbio,10.0,-155,7,2,0,1.0,3,3,200,78,0.39,1,81,203,0,2,0,31,182.88,Orthodox,185.42,170,4,0
754,Glover Teixeira,3.0,125,9,4,0,1.0,1,1,21,13,0.61,0,13,22,1,2,0,38,187.96,Orthodox,193.04,205,3,3
755,Jared Cannonier,14.0,-190,3,2,0,0.0,0,0,87,26,0.29,0,41,103,0,0,0,33,180.34,Switch,195.58,185,2,0
756,Julian Marquez,,-340,0,0,0,0.0,3,0,64,32,0.5,0,37,69,3,1,0,27,187.96,Orthodox,190.5,185,0,0
757,Chad Laprise,,-145,5,2,0,1.0,1,1,39,20,0.51,0,42,66,0,2,0,31,177.8,Orthodox,180.34,170,2,0
758,Nordine Taleb,,-155,5,2,0,0.0,0,0,5,5,1.0,1,5,5,0,0,0,36,185.42,Orthodox,187.96,170,1,0
759,John Makdessi,,125,7,6,0,0.0,0,0,104,47,0.45,1,57,119,0,0,0,32,172.72,Orthodox,172.72,155,3,0
760,Alessio Di Chirico,,-160,1,2,0,1.0,1,1,37,6,0.16,1,6,37,0,0,0,28,182.88,Orthodox,187.96,185,0,0
761,Jordan Mein,,-160,3,4,0,0.75,4,3,127,51,0.4,0,97,183,1,4,0,28,182.88,Orthodox,185.42,170,2,0
762,Michael Bisping,2.0,243,20,8,0,0.0,0,0,24,7,0.29,0,7,24,0,0,0,38,185.42,Orthodox,190.5,185,10,0
763,Wang Guan,,120,0,0,0,0.0,3,0,164,71,0.43,1,75,169,0,1,0,31,175.26,Orthodox,180.34,145,0,0
764,Muslim Salikhov,,-220,0,0,0,0.0,0,0,27,10,0.37,0,10,27,0,2,0,33,180.34,Orthodox,177.8,170,0,0
765,Zabit Magomedsharipov,,-500,1,0,0,0.73,15,11,70,34,0.48,0,60,101,1,10,1,26,185.42,Orthodox,185.42,145,0,1
766,Song Yadong,,-160,0,0,0,0.0,0,0,29,8,0.27,1,9,30,1,0,0,19,172.72,Orthodox,170.18,135,0,0
767,Chase Sherman,,105,2,2,0,0.0,0,0,13,5,0.38,0,5,13,0,0,0,28,193.04,Orthodox,198.12,250,1,0
768,Wuliji Buren,,140,0,0,0,0.36,11,4,60,17,0.28,0,37,81,0,2,0,28,175.26,Orthodox,175.26,135,0,0
769,Cyril Asker,,-250,1,2,0,1.0,4,4,35,20,0.57,0,91,119,1,3,0,31,182.88,Orthodox,187.96,247,1,0
770,Fabricio Werdum,2.0,-300,10,4,0,0.14,7,1,265,155,0.58,0,179,290,0,2,0,40,193.04,Orthodox,195.58,231,4,3
771,Bec Rawlings,,-130,2,3,0,0.66,3,2,145,65,0.44,0,81,162,1,2,0,28,167.64,Orthodox,162.56,125,0,1
772,Tim Means,,-210,9,6,0,0.0,1,0,234,91,0.38,0,93,236,0,0,0,33,187.96,Orthodox,190.5,170,4,1
773,Jake Matthews,,-140,4,3,0,0.36,11,4,34,20,0.58,0,50,69,0,4,1,23,180.34,Orthodox,185.42,170,0,3
774,Elias Theodorou,,-310,5,2,0,0.0,0,0,250,118,0.47,0,128,261,0,0,1,29,185.42,Orthodox,190.5,185,2,0
775,Alexander Volkanovski,,-640,2,0,0,0.35,14,5,114,68,0.59,0,79,128,0,9,0,29,167.64,Orthodox,180.34,145,1,0
776,Ryan Benoit,,-290,2,3,0,0.0,1,0,93,45,0.48,1,47,95,0,0,0,28,165.1,Orthodox,172.72,125,1,0
777,Nik Lentz,,345,11,7,0,0.0,2,0,82,34,0.41,0,40,88,1,1,1,33,172.72,Orthodox,172.72,155,2,1
778,Rashad Coulter,,155,0,1,0,0.0,2,0,19,10,0.52,0,19,28,0,1,0,35,180.34,Orthodox,193.04,205,0,0
779,Damien Brown,,105,2,2,0,0.28,7,2,251,104,0.41,0,115,263,1,1,0,32,177.8,Orthodox,172.72,155,1,0
780,Alex Chambers,,170,1,2,0,0.57,7,4,70,45,0.64,0,79,108,0,4,0,39,160.02,Switch,160.02,115,0,1
781,Jenel Lausa,,270,1,1,0,0.5,2,1,30,5,0.16,0,20,46,2,0,0,29,165.1,Orthodox,172.72,125,0,0
782,Anthony Hamilton,,155,3,6,0,0.22,9,2,57,32,0.56,0,44,75,0,5,0,37,195.58,Orthodox,193.04,260,2,0
