,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
70,Hunter Azure,,-200,1,0,0,0.0,0,0,132,62,0.46,0,67,139,0,0,0,28,172.72,Orthodox,175.26,145,0,0
71,Chase Sherman,,-160,2,5,0,0.0,0,0,87,51,0.58,1,51,87,0,0,0,30,193.04,Orthodox,198.12,250,1,0
72,Kevin Lee,8.0,-145,11,5,0,0.66,3,2,80,41,0.51,0,61,100,0,2,1,27,175.26,Orthodox,195.58,170,3,4
73,Demian Maia,5.0,160,22,9,0,1.0,2,2,7,4,0.57,0,4,7,0,1,0,42,185.42,Southpaw,182.88,170,1,11
74,Renato Moicano,,-345,5,3,0,1.0,1,1,2,1,0.5,0,4,5,1,1,0,30,180.34,Orthodox,182.88,155,0,2
75,Johnny Walker,10.0,-137,3,1,0,0.0,0,0,50,37,0.74,0,91,112,0,2,1,27,198.12,Orthodox,208.28,205,3,0
76,Francisco Trinaldo,,-160,14,6,0,0.0,1,0,126,55,0.43,0,55,126,0,0,0,41,175.26,Southpaw,177.8,155,4,2
77,Jussier Formiga,3.0,-150,9,5,0,0.11,9,1,32,15,0.46,0,61,81,1,3,1,34,165.1,Orthodox,170.18,125,0,3
78,Amanda Ribas,,-345,2,0,0,0.33,3,1,159,85,0.53,0,173,254,2,4,1,26,160.02,Orthodox,167.64,115,0,1
79,Mayra Bueno Silva,,-140,1,0,0,0.0,0,0,146,88,0.6,0,92,150,0,0,0,28,167.64,Orthodox,167.64,135,0,1
80,Bruno Silva,,-110,0,1,0,0.27,11,3,97,45,0.46,0,60,112,0,2,0,29,162.56,Orthodox,165.1,135,0,0
81,Veronica Macedo,,-155,1,3,0,0.0,9,0,258,93,0.36,0,106,271,0,0,0,24,162.56,Southpaw,162.56,125,0,1
82,Joseph Benavidez,1.0,-150,21,5,0,0.0,2,0,94,46,0.48,0,46,94,0,0,0,35,162.56,Southpaw,165.1,125,6,3
83,Felicia Spencer,,-870,1,1,0,0.5,2,1,64,40,0.62,0,68,98,0,2,0,29,167.64,Orthodox,172.72,145,0,1
84,Ion Cutelaba,,185,4,3,0,0.0,0,0,11,5,0.45,0,5,11,0,0,0,26,185.42,Southpaw,190.5,205,3,0
85,Megan Anderson,,-245,2,2,0,0.0,1,0,14,7,0.5,1,32,39,0,0,1,30,182.88,Orthodox,182.88,145,1,1
86,Grant Dawson,,-475,2,0,0,0.66,3,2,22,15,0.68,0,42,52,2,6,0,26,177.8,Switch,182.88,145,0,1
87,Gabriel Silva,,-130,0,1,0,0.33,6,2,97,31,0.31,0,43,112,1,0,0,25,167.64,Orthodox,180.34,135,0,0
88,Brendan Allen,,110,1,0,0,0.0,1,0,29,20,0.68,0,38,52,0,2,0,24,187.96,Orthodox,190.5,185,0,1
89,Luis Pena,,-270,3,2,0,0.0,1,0,42,27,0.64,0,58,95,1,3,0,26,190.5,Southpaw,190.5,155,1,1
90,Marcin Tybura,,100,4,5,0,0.25,8,2,106,43,0.4,0,116,199,0,3,0,34,190.5,Orthodox,198.12,249,2,0
91,Jordan Griffin,,-135,0,2,0,0.0,1,0,23,15,0.65,0,20,28,3,0,0,30,177.8,Southpaw,185.42,145,0,0
92,Aalon Cruz,,-190,0,0,0,0.0,1,0,12,2,0.16,0,2,12,0,0,0,30,182.88,Switch,198.12,145,0,0
93,Sean Brady,,105,1,0,0,0.44,9,4,91,47,0.51,0,125,191,1,6,0,27,177.8,Orthodox,182.88,170,0,0
94,Paul Felder,6.0,130,9,4,0,0.0,1,0,230,110,0.47,0,119,243,0,0,0,35,180.34,Orthodox,177.8,155,4,1
95,Brad Riddell,,120,1,0,0,1.0,1,1,72,38,0.52,1,60,97,0,2,0,28,170.18,Orthodox,180.34,155,0,0
