,location,date,weight_class,finish_round,finish_round_time,no_of_rounds,finish,winner,title_bout,finish_details,r_fighter,b_fighter,date_dt
0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Welterweight,5,5:00,5,U-DEC,Red,True,,Kamaru Usman,Jorge Masvidal,2020-07-11
1,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Featherweight,5,5:00,3,S-DEC,Red,True,,Alexander Volkanovski,Max Holloway,2020-07-11
2,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Bantamweight,5,3:24,3,KO/TKO,Red,True,Punches,Petr Yan,Jose Aldo,2020-07-11
3,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Women's Strawweight,3,5:00,3,S-DEC,Blue,False,,Jessica Andrade,Rose Namajunas,2020-07-11
4,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Women's Flyweight,1,2:21,3,SUB,Red,False,Armbar,Amanda Ribas,Paige VanZant,2020-07-11
5,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Light Heavyweight,2,0:49,3,KO/TKO,Blue,False,Punch,Volkan Oezdemir,Jiri Prochazka,2020-07-11
6,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Welterweight,3,5:00,3,S-DEC,Blue,False,,Elizeu Zaleski dos Santos,Muslim Salikhov,2020-07-11
7,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Featherweight,1,3:15,3,SUB,Red,False,Anaconda Choke,Makwan Amirkhani,Danny Henry,2020-07-11
8,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Lightweight,3,5:00,3,U-DEC,Red,False,,Leonardo Santos,Roman Bogatov,2020-07-11
9,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Heavyweight,3,5:00,3,U-DEC,Red,False,,Marcin Tybura,Maxim Grishin,2020-07-11
10,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Women's Bantamweight,3,5:00,3,U-DEC,Red,False,,Karol Rosa,Vanessa Melo,2020-07-11
11,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Bantamweight,3,2:38,3,KO/TKO,Blue,False,Punch,Martin Day,Davey Grant,2020-07-11
12,"Las Vegas, Nevada, USA","Jun 27, 2020",Lightweight,5,5:00,5,U-DEC,Red,False,,Dustin Poirier,Dan Hooker,2020-06-27
13,"Las Vegas, Nevada, USA","Jun 27, 2020",Welterweight,3,5:00,3,U-DEC,Red,False,,Mike Perry,Mickey Gall,2020-06-27
14,"Las Vegas, Nevada, USA","Jun 27, 2020",Middleweight,3,5:00,3,U-DEC,Red,False,,Brendan Allen,Kyle Daukaus,2020-06-27
15,"Las Vegas, Nevada, USA","Jun 27, 2020",Heavyweight,3,3:44,3,SUB,Blue,False,Arm Triangle,Gian Villante,Maurice Greene,2020-06-27
16,"Las Vegas, Nevada, USA","Jun 27, 2020",Lightweight,3,2:53,3,SUB,Blue,False,Guillotine Choke,Luis Pena,Khama Worthy,2020-06-27
17,"Las Vegas, Nevada, USA","Jun 27, 2020",Heavyweight,1,2:41,3,KO/TKO,Blue,False,Punches,Philipe Lins,Tanner Boser,2020-06-27
18,"Las Vegas, Nevada, USA","Jun 27, 2020",Catch Weight,3,2:44,3,SUB,Blue,False,D'Arce Choke,Sean Woodson,Julian Erosa,2020-06-27
19,"Las Vegas, Nevada, USA","Jun 27, 2020",Welterweight,1,0:48,3,KO/TKO,Red,False,Punches,Takashi Sato,Jason Witt,2020-06-27
20,"Las Vegas, Nevada, USA","Jun 27, 2020",Women's Strawweight,3,2:26,3,SUB,Red,False,Armbar,Kay Hansen,Jinh Yu Frey,2020-06-27
21,"Las Vegas, Nevada, USA","Jun 27, 2020",Featherweight,3,5:00,3,U-DEC,Blue,False,,Jordan Griffin,Youssef Zalal,2020-06-27
22,"Las Vegas, Nevada, USA","Jun 20, 2020",Heavyweight,5,5:00,5,U-DEC,Red,False,,Curtis Blaydes,Alexander Volkov,2020-06-20
23,"Las Vegas, Nevada, USA","Jun 20, 2020",Featherweight,3,5:00,3,U-DEC,Red,False,,Josh Emmett,Shane Burgos,2020-06-20
24,"Las Vegas, Nevada, USA","Jun 20, 2020",Women's Bantamweight,3,5:00,3,U-DEC,Red,False,,Raquel Pennington,Marion Reneau,2020-06-20
25,"Las Vegas, Nevada, USA","Jun 20, 2020",Welterweight,3,5:00,3,U-DEC,Red,False,,Belal Muhammad,Lyman Good,2020-06-20
26,"Las Vegas, Nevada, USA","Jun 20, 2020",Catch Weight,1,2:25,3,SUB,Red,False,Armbar,Jim Miller,Roosevelt Roberts,2020-06-20
27,"Las Vegas, Nevada, USA","Jun 20, 2020",Lightweight,3,5:00,3,U-DEC,Blue,False,,Clay Guida,Bobby Green,2020-06-20
28,"Las Vegas, Nevada, USA","Jun 20, 2020",Women's Strawweight,3,5:00,3,U-DEC,Red,False,,Tecia Torres,Brianna Van Buren,2020-06-20
29,"Las Vegas, Nevada, USA","Jun 20, 2020",Middleweight,2,4:50,3,KO/TKO,Red,False,Punches,Marc-Andre Barriault,Oskar Piechota,2020-06-20
30,"Las Vegas, Nevada, USA","Jun 20, 2020",Women's Flyweight,3,4:36,3,SUB,Blue,False,Rear Naked Choke,Cortney Casey,Gillian Robertson,2020-06-20
31,"Las Vegas, Nevada, USA","Jun 20, 2020",Lightweight,1,0:41,3,KO/TKO,Blue,False,Punches,Frank Camacho,Justin Jaynes,2020-06-20
32,"Las Vegas, Nevada, USA","Jun 20, 2020",Women's Flyweight,3,5:00,3,U-DEC,Blue,False,,Roxanne Modafferi,Lauren Murphy,2020-06-20
33,"Las Vegas, Nevada, USA","Jun 20, 2020",Lightweight,2,5:00,3,KO/TKO,Red,False,,Austin Hubbard,Max Rohskopf,2020-06-20
34,"Las Vegas, Nevada, USA","Jun 13, 2020",Women's Flyweight,5,5:00,5,U-DEC,Blue,False,,Jessica Eye,Cynthia Calvillo,2020-06-13
35,"Las Vegas, Nevada, USA","Jun 13, 2020",Middleweight,1,4:17,3,SUB,Blue,False,Rear Naked Choke,Karl Roberson,Marvin Vettori,2020-06-13
36,"Las Vegas, Nevada, USA","Jun 13, 2020",Lightweight,3,5:00,3,S-DEC,Red,False,,Charles Rosa,Kevin Aguilar,2020-06-13
37,"Las Vegas, Nevada, USA","Jun 13, 2020",Featherweight,3,5:00,3,S-DEC,Red,False,,Andre Fili,Charles Jourdain,2020-06-13
38,"Las Vegas, Nevada, USA","Jun 13, 2020",Bantamweight,3,5:00,3,U-DEC,Red,False,,Jordan Espinosa,Mark De La Rosa,2020-06-13
39,"Las Vegas, Nevada, USA","Jun 13, 2020",Women's Flyweight,1,2:42,3,SUB,Red,False,Rear Naked Choke,Mariya Agapova,Hannah Cifers,2020-06-13
40,"Las Vegas, Nevada, USA","Jun 13, 2020",Catch Weight,3,5:00,3,U-DEC,Red,False,,Merab Dvalishvili,Gustavo Lopez,2020-06-13
41,"Las Vegas, Nevada, USA","Jun 13, 2020",Women's Bantamweight,1,0:22,3,KO/TKO,Red,False,Punches,Julia Avila,Gina Mazany,2020-06-13
42,"Las Vegas, Nevada, USA","Jun 13, 2020",Bantamweight,1,0:32,3,KO/TKO,Red,False,Punch,Tyson Nam,Zarrukh Adashev,2020-06-13
43,"Las Vegas, Nevada, USA","Jun 13, 2020",Welterweight,1,0:59,3,KO/TKO,Blue,False,Punches,Anthony Ivy,Christian Aguilera,2020-06-13
44,"Las Vegas, Nevada, USA","May 30, 2020",Welterweight,5,5:00,5,U-DEC,Blue,False,,Tyron Woodley,Gilbert Burns,2020-05-30
45,"Las Vegas, Nevada, USA","May 30, 2020",Heavyweight,3,5:00,3,S-DEC,Blue,False,,Blagoy Ivanov,Augusto Sakai,2020-05-30
46,"Las Vegas, Nevada, USA","May 30, 2020",Catch Weight,3,5:00,3,U-DEC,Red,False,,Billy Quarantillo,Spike Carlyle,2020-05-30
47,"Las Vegas, Nevada, USA","May 30, 2020",Lightweight,2,3:26,3,SUB,Red,False,Rear Naked Choke,Roosevelt Roberts,Brok Weaver,2020-05-30
48,"Las Vegas, Nevada, USA","May 30, 2020",Women's Strawweight,1,2:36,3,SUB,Red,False,Kneebar,Mackenzie Dern,Hannah Cifers,2020-05-30
49,"Las Vegas, Nevada, USA","May 30, 2020",Women's Flyweight,3,5:00,3,U-DEC,Red,False,,Katlyn Chookagian,Antonina Shevchenko,2020-05-30
50,"Las Vegas, Nevada, USA","May 30, 2020",Welterweight,3,5:00,3,U-DEC,Red,False,,Daniel Rodriguez,Gabe Green,2020-05-30
51,"Las Vegas, Nevada, USA","May 30, 2020",Light Heavyweight,1,1:51,3,KO/TKO,Red,False,Knee,Jamahal Hill,Klidson Abreu,2020-05-30
52,"Las Vegas, Nevada, USA","May 30, 2020",Flyweight,2,3:18,3,SUB,Blue,False,Arm Triangle,Tim Elliott,Brandon Royval,2020-05-30
53,"Las Vegas, Nevada, USA","May 30, 2020",Bantamweight,1,3:03,3,SUB,Blue,False,Guillotine Choke,Louis Smolka,Casey Kenney,2020-05-30
54,"Las Vegas, Nevada, USA","May 30, 2020",Featherweight,2,4:27,3,KO/TKO,Red,False,Kick,Chris Gutierrez,Vince Morales,2020-05-30
55,"Jacksonville, Florida, USA","May 16, 2020",Heavyweight,2,3:00,5,KO/TKO,Red,False,Punches,Alistair Overeem,Walt Harris,2020-05-16
56,"Jacksonville, Florida, USA","May 16, 2020",Women's Strawweight,3,5:00,3,S-DEC,Red,False,,Claudia Gadelha,Angela Hill,2020-05-16
57,"Jacksonville, Florida, USA","May 16, 2020",Featherweight,3,5:00,3,S-DEC,Red,False,,Dan Ige,Edson Barboza,2020-05-16
58,"Jacksonville, Florida, USA","May 16, 2020",Featherweight,3,5:00,3,U-DEC,Red,False,,Song Yadong,Marlon Vera,2020-05-16
59,"Jacksonville, Florida, USA","May 16, 2020",Featherweight,3,5:00,3,U-DEC,Red,False,,Giga Chikadze,Irwin Rivera,2020-05-16
60,"Jacksonville, Florida, USA","May 16, 2020",Women's Flyweight,1,3:36,3,SUB,Red,False,Armbar,Cortney Casey,Mara Romero Borella,2020-05-16
61,"Jacksonville, Florida, USA","May 16, 2020",Heavyweight,2,2:05,3,SUB,Red,False,Rear Naked Choke,Rodrigo Nascimento,Don'Tale Mayes,2020-05-16
62,"Jacksonville, Florida, USA","May 13, 2020",Light Heavyweight,5,1:04,5,KO/TKO,Blue,False,Punches,Anthony Smith,Glover Teixeira,2020-05-13
63,"Jacksonville, Florida, USA","May 13, 2020",Heavyweight,3,5:00,3,S-DEC,Red,False,,Ben Rothwell,Ovince Saint Preux,2020-05-13
64,"Jacksonville, Florida, USA","May 13, 2020",Lightweight,2,4:25,3,KO/TKO,Blue,False,Punches,Alexander Hernandez,Drew Dober,2020-05-13
65,"Jacksonville, Florida, USA","May 13, 2020",Bantamweight,3,5:00,3,S-DEC,Red,False,,Ricky Simon,Ray Borg,2020-05-13
66,"Jacksonville, Florida, USA","May 13, 2020",Heavyweight,3,5:00,3,U-DEC,Red,False,,Andrei Arlovski,Philipe Lins,2020-05-13
67,"Jacksonville, Florida, USA","May 13, 2020",Lightweight,2,0:25,3,SUB,Blue,False,Ankle Lock,Michael Johnson,Thiago Moises,2020-05-13
68,"Jacksonville, Florida, USA","May 13, 2020",Women's Bantamweight,3,5:00,3,U-DEC,Red,False,,Sijara Eubanks,Sarah Moras,2020-05-13
69,"Jacksonville, Florida, USA","May 13, 2020",Lightweight,3,5:00,3,U-DEC,Blue,False,,Gabriel Benitez,Omar Morales,2020-05-13
70,"Jacksonville, Florida, USA","May 13, 2020",Featherweight,2,3:40,3,KO/TKO,Blue,False,Punch,Hunter Azure,Brian Kelleher,2020-05-13
71,"Jacksonville, Florida, USA","May 13, 2020",Heavyweight,2,0:49,3,KO/TKO,Red,False,Elbow,Chase Sherman,Ike Villanueva,2020-05-13
72,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Lightweight,3,0:28,5,SUB,Blue,False,Guillotine Choke,Kevin Lee,Charles Oliveira,2020-03-14
73,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Welterweight,1,2:34,3,KO/TKO,Blue,False,Punch,Demian Maia,Gilbert Burns,2020-03-14
74,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Lightweight,1,0:44,3,SUB,Red,False,Rear Naked Choke,Renato Moicano,Damir Hadzovic,2020-03-14
75,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Light Heavyweight,3,5:00,3,U-DEC,Blue,False,,Johnny Walker,Nikita Krylov,2020-03-14
76,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Lightweight,3,5:00,3,U-DEC,Red,False,,Francisco Trinaldo,John Makdessi,2020-03-14
77,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Flyweight,3,5:00,3,U-DEC,Blue,False,,Jussier Formiga,Brandon Moreno,2020-03-14
78,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Women's Strawweight,3,5:00,3,U-DEC,Red,False,,Amanda Ribas,Randa Markos,2020-03-14
79,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Women's Flyweight,3,5:00,3,U-DEC,Blue,False,,Mayra Bueno Silva,Maryna Moroz,2020-03-14
80,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Flyweight,3,5:00,3,U-DEC,Blue,False,,Bruno Silva,David Dvorak,2020-03-14
81,"Brasilia, Distrito Federal, Brazil","Mar 14, 2020",Women's Bantamweight,3,5:00,3,U-DEC,Blue,False,,Veronica Macedo,Bea Malecki,2020-03-14
82,"Norfolk, Virginia, USA","Feb 29, 2020",Flyweight,2,1:54,5,KO/TKO,Blue,True,Punch,Joseph Benavidez,Deiveson Figueiredo,2020-02-29
83,"Norfolk, Virginia, USA","Feb 29, 2020",Women's Featherweight,1,3:37,3,KO/TKO,Red,False,Punches,Felicia Spencer,Zarah Fairn,2020-02-29
84,"Norfolk, Virginia, USA","Feb 29, 2020",Light Heavyweight,1,0:38,3,KO/TKO,Blue,False,Punches,Ion Cutelaba,Magomed Ankalaev,2020-02-29
85,"Norfolk, Virginia, USA","Feb 29, 2020",Women's Featherweight,1,3:31,3,KO/TKO,Red,False,Punch,Megan Anderson,Norma Dumont,2020-02-29
86,"Norfolk, Virginia, USA","Feb 29, 2020",Featherweight,2,1:38,3,SUB,Red,False,Rear Naked Choke,Grant Dawson,Darrick Minner,2020-02-29
87,"Norfolk, Virginia, USA","Feb 29, 2020",Bantamweight,3,5:00,3,U-DEC,Blue,False,,Gabriel Silva,Kyler Phillips,2020-02-29
88,"Norfolk, Virginia, USA","Feb 29, 2020",Middleweight,1,4:47,3,KO/TKO,Red,False,Punches,Brendan Allen,Tom Breese,2020-02-29
89,"Norfolk, Virginia, USA","Feb 29, 2020",Lightweight,3,5:00,3,U-DEC,Red,False,,Luis Pena,Steve Garcia,2020-02-29
90,"Norfolk, Virginia, USA","Feb 29, 2020",Heavyweight,3,5:00,3,U-DEC,Red,False,,Marcin Tybura,Serghei Spivac,2020-02-29
91,"Norfolk, Virginia, USA","Feb 29, 2020",Featherweight,2,3:38,3,SUB,Red,False,Guillotine Choke,Jordan Griffin,TJ Brown,2020-02-29
92,"Norfolk, Virginia, USA","Feb 29, 2020",Featherweight,1,1:25,3,KO/TKO,Blue,False,Punches,Aalon Cruz,Spike Carlyle,2020-02-29
93,"Norfolk, Virginia, USA","Feb 29, 2020",Welterweight,3,5:00,3,U-DEC,Red,False,,Sean Brady,Ismail Naurdiev,2020-02-29
94,"Auckland, New Zealand","Feb 22, 2020",Lightweight,5,5:00,5,S-DEC,Blue,False,,Paul Felder,Dan Hooker,2020-02-22
95,"Auckland, New Zealand","Feb 22, 2020",Lightweight,3,5:00,3,S-DEC,Red,False,,Brad Riddell,Magomed Mustafaev,2020-02-22
96,"Auckland, New Zealand","Feb 22, 2020",Featherweight,1,3:21,3,KO/TKO,Blue,False,Punches,Kevin Aguilar,Zubaira Tukhugov,2020-02-22
97,"Auckland, New Zealand","Feb 22, 2020",Welterweight,3,5:00,3,U-DEC,Red,False,,Jake Matthews,Emil Meek,2020-02-22
98,"Auckland, New Zealand","Feb 22, 2020",Women's Strawweight,3,5:00,3,U-DEC,Blue,False,,Loma Lookboonmee,Angela Hill,2020-02-22
99,"Auckland, New Zealand","Feb 22, 2020",Women's Flyweight,1,0:40,3,KO/TKO,Red,False,Punch,Priscila Cachoeira,Shana Dobson,2020-02-22
100,"Minneapolis, Minnesota, USA","Jun 29, 2019",Heavyweight,1,1:11,5,KO/TKO,Red,False,Punch,Francis Ngannou,Junior Dos Santos,2019-06-29
101,"Minneapolis, Minnesota, USA","Jun 29, 2019",Flyweight,2,4:47,3,KO/TKO,Blue,False,Punches,Jussier Formiga,Joseph Benavidez,2019-06-29
102,"Minneapolis, Minnesota, USA","Jun 29, 2019",Lightweight,3,5:00,3,U-DEC,Blue,False,,Roosevelt Roberts,Vinc Pichel,2019-06-29
103,"Minneapolis, Minnesota, USA","Jun 29, 2019",Lightweight,1,1:07,3,KO/TKO,Red,False,Punches,Drew Dober,Marco Polo Reyes,2019-06-29
104,"Minneapolis, Minnesota, USA","Jun 29, 2019",Light Heavyweight,1,3:19,3,KO/TKO,Red,False,Punch,Alonzo Menifield,Paul Craig,2019-06-29
105,"Minneapolis, Minnesota, USA","Jun 29, 2019",Bantamweight,3,5:00,3,U-DEC,Red,False,,Ricardo Ramos,Journey Newson,2019-06-29
106,"Minneapolis, Minnesota, USA","Jun 29, 2019",Light Heavyweight,1,1:18,3,KO/TKO,Red,False,Punch,Eryk Anders,Vinicius Moreira,2019-06-29
107,"Minneapolis, Minnesota, USA","Jun 29, 2019",Lightweight,3,5:00,3,U-DEC,Red,False,,Jared Gordon,Dan Moret,2019-06-29
108,"Minneapolis, Minnesota, USA","Jun 29, 2019",Light Heavyweight,3,0:42,3,KO/TKO,Red,False,Punch,Dalcha Lungiambula,Dequan Townsend,2019-06-29
109,"Minneapolis, Minnesota, USA","Jun 29, 2019",Women's Strawweight,2,2:10,3,SUB,Blue,False,Rear Naked Choke,Emily Whitmire,Amanda Ribas,2019-06-29
110,"Minneapolis, Minnesota, USA","Jun 29, 2019",Heavyweight,1,3:38,3,KO/TKO,Red,False,Punch,Maurice Greene,Junior Albini,2019-06-29
111,"Greenville, South Carolina, USA","Jun 22, 2019",Featherweight,1,0:58,3,KO/TKO,Blue,False,Punch,Renato Moicano,Chan Sung Jung,2019-06-22
112,"Greenville, South Carolina, USA","Jun 22, 2019",Welterweight,3,2:54,3,KO/TKO,Blue,False,Kick,Bryan Barberena,Randy Brown,2019-06-22
113,"Greenville, South Carolina, USA","Jun 22, 2019",Bantamweight,3,5:00,3,U-DEC,Red,False,,Andre Ewell,Anderson Dos Santos,2019-06-22
114,"Greenville, South Carolina, USA","Jun 22, 2019",Women's Flyweight,3,5:00,3,U-DEC,Red,False,,Andrea Lee,Montana De La Rosa,2019-06-22
115,"Greenville, South Carolina, USA","Jun 22, 2019",Middleweight,3,5:00,3,U-DEC,Red,False,,Kevin Holland,Alessio Di Chirico,2019-06-22
116,"Greenville, South Carolina, USA","Jun 22, 2019",Featherweight,3,5:00,3,U-DEC,Red,False,,Dan Ige,Kevin Aguilar,2019-06-22
117,"Greenville, South Carolina, USA","Jun 22, 2019",Women's Strawweight,3,5:00,3,U-DEC,Red,False,,Ashley Yoder,Syuri Kondo,2019-06-22
118,"Greenville, South Carolina, USA","Jun 22, 2019",Lightweight,3,1:14,3,KO/TKO,Blue,False,Punches,Matt Wiman,Luis Pena,2019-06-22
119,"Greenville, South Carolina, USA","Jun 22, 2019",Heavyweight,1,0:09,3,KO/TKO,Blue,False,Punches,Allen Crowder,Jairzinho Rozenstruik,2019-06-22
120,"Greenville, South Carolina, USA","Jun 22, 2019",Women's Flyweight,3,5:00,3,U-DEC,Blue,False,,Ariane Lipski,Molly McCann,2019-06-22
121,"Greenville, South Carolina, USA","Jun 22, 2019",Middleweight,3,5:00,3,U-DEC,Red,False,,Deron Winn,Eric Spicely,2019-06-22
122,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Light Heavyweight,1,3:08,5,KO/TKO,Blue,False,Punch,Corey Anderson,Jan Blachowicz,2020-02-15
123,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Welterweight,3,3:09,3,DQ,Red,False,,Diego Sanchez,Michel Pereira,2020-02-15
124,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Women's Flyweight,3,5:00,3,U-DEC,Red,False,,Montana De La Rosa,Mara Romero Borella,2020-02-15
125,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Lightweight,1,4:02,3,DQ,Red,False,,Brok Weaver,Kazula Vargas,2020-02-15
126,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Flyweight,3,5:00,3,U-DEC,Blue,False,,Rogerio Bontorin,Ray Borg,2020-02-15
127,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Lightweight,3,5:00,3,U-DEC,Red,False,,Lando Vannata,Yancy Medeiros,2020-02-15
128,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Welterweight,2,3:37,3,SUB,Blue,False,Guillotine Choke,Tim Means,Daniel Rodriguez,2020-02-15
129,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Bantamweight,3,0:16,3,KO/TKO,Red,False,Punch,John Dodson,Nathaniel Wood,2020-02-15
130,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Lightweight,3,5:00,3,U-DEC,Blue,False,,Jim Miller,Scott Holtzman,2020-02-15
131,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Light Heavyweight,3,5:00,3,U-DEC,Red,False,,Devin Clark,Dequan Townsend,2020-02-15
132,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Bantamweight,3,5:00,3,U-DEC,Blue,False,,Casey Kenney,Merab Dvalishvili,2020-02-15
133,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Women's Bantamweight,3,5:00,3,U-DEC,Red,False,,Macy Chiasson,Shanna Young,2020-02-15
134,"Rio Rancho, New Mexico, USA","Feb 15, 2020",Flyweight,2,4:42,3,KO/TKO,Blue,False,Punch,Mark De La Rosa,Raulian Paiva,2020-02-15
135,"Sacramento, California, USA","Jul 13, 2019",Bantamweight,1,0:46,3,KO/TKO,Red,False,Punch,Urijah Faber,Ricky Simon,2019-07-13
136,"Sacramento, California, USA","Jul 13, 2019",Featherweight,1,4:25,3,KO/TKO,Red,False,Punches,Josh Emmett,Mirsad Bektic,2019-07-13
137,"Sacramento, California, USA","Jul 13, 2019",Middleweight,3,5:00,3,S-DEC,Red,False,,Karl Roberson,Wellington Turman,2019-07-13
138,"Sacramento, California, USA","Jul 13, 2019",Middleweight,3,5:00,3,U-DEC,Red,False,,Marvin Vettori,Cezar Ferreira,2019-07-13
139,"Sacramento, California, USA","Jul 13, 2019",Featherweight,1,3:07,3,KO/TKO,Red,False,Punch,Andre Fili,Sheymon Moraes,2019-07-13
140,"Sacramento, California, USA","Jul 13, 2019",Women's Bantamweight,3,5:00,3,U-DEC,Red,False,,Julianna Pena,Nicco Montano,2019-07-13
141,"Sacramento, California, USA","Jul 13, 2019",Featherweight,3,5:00,3,U-DEC,Blue,False,,Darren Elkins,Ryan Hall,2019-07-13
142,"Sacramento, California, USA","Jul 13, 2019",Bantamweight,3,3:54,3,KO/TKO,Blue,False,Knee,Liu Pingyuan,Jonathan Martinez,2019-07-13
143,"Sacramento, California, USA","Jul 13, 2019",Women's Strawweight,3,5:00,3,U-DEC,Blue,False,,Livinha Souza,Brianna Van Buren,2019-07-13
144,"Sacramento, California, USA","Jul 13, 2019",Bantamweight,3,5:00,3,U-DEC,Red,False,,Benito Lopez,Vince Morales,2019-07-13
145,"San Antonio, Texas, USA","Jul 20, 2019",Welterweight,5,5:00,5,U-DEC,Blue,False,,Rafael Dos Anjos,Leon Edwards,2019-07-20
146,"San Antonio, Texas, USA","Jul 20, 2019",Heavyweight,1,0:12,3,KO/TKO,Blue,False,Punch,Aleksei Oleinik,Walt Harris,2019-07-20
147,"San Antonio, Texas, USA","Jul 20, 2019",Heavyweight,1,0:45,3,KO/TKO,Red,False,Punches,Greg Hardy,Juan Adams,2019-07-20
148,"San Antonio, Texas, USA","Jul 20, 2019",Lightweight,1,2:33,3,KO/TKO,Blue,False,Punch,James Vick,Dan Hooker,2019-07-20
149,"San Antonio, Texas, USA","Jul 20, 2019",Lightweight,3,5:00,3,U-DEC,Red,False,,Alexander Hernandez,Francisco Trinaldo,2019-07-20
150,"San Antonio, Texas, USA","Jul 20, 2019",Heavyweight,3,5:00,3,U-DEC,Red,False,,Andrei Arlovski,Ben Rothwell,2019-07-20
151,"San Antonio, Texas, USA","Jul 20, 2019",Featherweight,3,5:00,3,U-DEC,Red,False,,Alex Caceres,Steven Peterson,2019-07-20
152,"San Antonio, Texas, USA","Jul 20, 2019",Women's Bantamweight,3,5:00,3,S-DEC,Red,False,,Raquel Pennington,Irene Aldana,2019-07-20
153,"San Antonio, Texas, USA","Jul 20, 2019",Light Heavyweight,3,5:00,3,U-DEC,Blue,False,,Sam Alvey,Klidson Abreu,2019-07-20
154,"San Antonio, Texas, USA","Jul 20, 2019",Women's Flyweight,3,5:00,3,U-DEC,Blue,False,,Roxanne Modafferi,Jennifer Maia,2019-07-20
155,"San Antonio, Texas, USA","Jul 20, 2019",Bantamweight,3,5:00,3,U-DEC,Red,False,,Ray Borg,Gabriel Silva,2019-07-20
156,"San Antonio, Texas, USA","Jul 20, 2019",Bantamweight,3,5:00,3,U-DEC,Red,False,,Mario Bautista,Jin Soo Son,2019-07-20
157,"San Antonio, Texas, USA","Jul 20, 2019",Bantamweight,3,5:00,3,S-DEC,Blue,False,,Domingo Pilarte,Felipe Colares,2019-07-20
158,"Edmonton, Alberta, Canada","Jul 27, 2019",Featherweight,5,5:00,5,U-DEC,Red,True,,Max Holloway,Frankie Edgar,2019-07-27
159,"Edmonton, Alberta, Canada","Jul 27, 2019",Welterweight,2,2:39,3,KO/TKO,Red,False,Punches,Geoff Neal,Niko Price,2019-07-27
160,"Edmonton, Alberta, Canada","Jul 27, 2019",Lightweight,3,5:00,3,U-DEC,Blue,False,,Olivier Aubin-Mercier,Arman Tsarukyan,2019-07-27
161,"Edmonton, Alberta, Canada","Jul 27, 2019",Women's Flyweight,3,5:00,3,U-DEC,Blue,False,,Alexis Davis,Viviane Araujo,2019-07-27
162,"Edmonton, Alberta, Canada","Jul 27, 2019",Featherweight,3,4:09,3,KO/TKO,Red,False,Kick,Hakeem Dawodu,Yoshinori Horie,2019-07-27
163,"Edmonton, Alberta, Canada","Jul 27, 2019",Flyweight,3,5:00,3,U-DEC,Blue,False,,Alexandre Pantoja,Deiveson Figueiredo,2019-07-27
164,"Edmonton, Alberta, Canada","Jul 27, 2019",Women's Flyweight,2,4:13,3,KO/TKO,Red,False,Elbows,Gillian Robertson,Sarah Frota,2019-07-27
165,"Edmonton, Alberta, Canada","Jul 27, 2019",Welterweight,3,5:00,3,U-DEC,Red,False,,Erik Koch,Kyle Stewart,2019-07-27
166,"Montevideo, Uruguay","Aug 10, 2019",Women's Flyweight,5,5:00,5,U-DEC,Red,True,,Valentina Shevchenko,Liz Carmouche,2019-08-10
167,"Montevideo, Uruguay","Aug 10, 2019",Light Heavyweight,2,4:31,3,KO/TKO,Red,False,Punch,Volkan Oezdemir,Ilir Latifi,2019-08-10
168,"Montevideo, Uruguay","Aug 10, 2019",Middleweight,2,4:26,3,SUB,Red,False,Arm Triangle,Rodolfo Vieira,Oskar Piechota,2019-08-10
